Question Number,Topic Name,Resources (Name + URL)
31,4.5 Ladder problem: inverse trig + Pythagorean,"1) Khan Academy: https://www.khanacademy.org/math/trigonometry/trig-equations-and-identities/inverse-trig-functions and https://www.khanacademy.org/math/geometry/hs-geo-trig/hs-geo-solve-for-an-angle/a/inverse-trig-functions-intro and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/e/inverse_trig_functions and https://www.khanacademy.org/math/ncert-class-12/x7ce8ca9c5869750b:inverse-trigonometric-functions-ncert-new and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:trig/x9e81a4f98389efdf:inverse-trig/a/inverse-trigonometric-functions-review and https://www.khanacademy.org/math/geometry-home/geometry-pythagorean-theorem and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/pythagorean_theorem_1 and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/a/pythagorean-theorem-intro, 2) Mathematics LibreTexts: https://math.libretexts.org/Courses/Fullerton_College/Math_100%3A_Liberal_Arts_Math_(Claassen_and_Ikeda)/02%3A_Geometry/2.04%3A_The_Pythagorean_Theorem and https://math.libretexts.org/Bookshelves/Precalculus/Precalculus_1e_(OpenStax)/06%3A_Periodic_Functions/6.03%3A_Inverse_Trigonometric_Functions and https://math.libretexts.org/Courses/Irvine_Valley_College/Math_3AC%3A_Analytic_Geometry_and_Calculus_I/09%3A_Chain_Rule_and_Inverse_Trig_Functions/9.03%3A_The_Inverse_Trigonometric_Functions, 3) Purple Math: https://www.purplemath.com/modules/pythagthm.htm and https://www.purplemath.com/modules/pythagthm2.htm and https://www.purplemath.com/modules/invratio.htm, 4) Paul's Math Notes: https://tutorial.math.lamar.edu/extras/algebratrigreview/inversetrig.aspx"
32,5.1 Pythagorean theorem (diagonal of a square),"1) Khan Academy: https://www.khanacademy.org/math/geometry-home/geometry-pythagorean-theorem and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/e/pythagorean_theorem_1 and https://www.khanacademy.org/math/cc-eighth-grade-math/cc-8th-geometry/cc-8th-pythagorean-theorem/a/pythagorean-theorem-intro, 2) Mathematics LibreTexts: https://math.libretexts.org/Courses/Fullerton_College/Math_100%3A_Liberal_Arts_Math_(Claassen_and_Ikeda)/02%3A_Geometry/2.04%3A_The_Pythagorean_Theorem, 3) Purple Math: https://www.purplemath.com/modules/pythagthm.htm and https://www.purplemath.com/modules/pythagthm2.htm"
33,5.2 Vector decomposition (x/y components),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:vectors/x9e81a4f98389efdf:vector-components/v/introduction-to-vector-components and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:vectors/x9e81a4f98389efdf:component-form/a/vector-component-form-no-direction-angle and https://www.khanacademy.org/science/ap-college-physics-1/xf557a762645cccc5:kinematics/xf557a762645cccc5:motion-in-2d/a/what-are-velocity-components and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:vectors/x9e81a4f98389efdf:component-form/a/vector-magnitude-and-direction-review, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
34,5.2 Vector decomposition (x/y components),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:vectors/x9e81a4f98389efdf:vec-add-mag-dir/v/adding-vectors-in-magnitude-and-direction-form and https://www.khanacademy.org/math/precalculus/x9e81a4f98389efdf:vectors/x9e81a4f98389efdf:component-form/a/vector-magnitude-and-direction-review and https://www.khanacademy.org/science/in-in-class11th-physics/in-in-class11th-physics-vectors-prerequisite/in-in-class11th-physics-vectors-prerequisite-adding-vectors-in-magnitude-and-direction-form/v/mag-dir-vec-sums-2, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx , 3)Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Precalculus/Precalculus_1e_(OpenStax)/08%3A_Further_Applications_of_Trigonometry/8.08%3A_Vectors"
35,5.3 Vector addition (Pythagorean + direction angle),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
36,5.3 Vector addition (Pythagorean + direction angle),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
37,5.4 Vector addition (component method),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
38,5.4 Vector addition (component method),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
39,5.4 Vector addition (component method),"1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
40,"5.5 Vector arithmetic (add, subtract, magnitude)","1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
41,"5.5 Vector arithmetic (add, subtract, magnitude)","1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
42,"5.5 Vector arithmetic (add, subtract, magnitude)","1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
43,"5.5 Vector arithmetic (add, subtract, magnitude)","1) Khan Academy: https://www.khanacademy.org/math/linear-algebra/vectors-and-spaces and https://www.khanacademy.org/math/algebra-home/alg-vectors/alg-combined-vector-operations/a/vector-operations-review and https://www.khanacademy.org/math/algebra-home/alg-vectors, 2) Paul's Math Notes: https://tutorial.math.lamar.edu/Classes/CalcII/Vectors_Basics.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorarithmetic.aspx and https://tutorial.math.lamar.edu/classes/calcii/vectorsintro.aspx"
44,6.1 Unit rate / direct proportion,"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
45,6.2 Direct proportion (scaling),"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
46,6.3 Constant of proportionality,"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
47,6.3 Constant of proportionality,"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
48,6.4 Part-to-part ratios (mixing),"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
49,6.4 Part-to-part ratios (mixing),"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
50,6.5 Inverse-square proportion,"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates and https://www.khanacademy.org/science/electrical-engineering/ee-electrostatics/ee-electric-force-and-electric-field/a/ee-inverse-square-law and https://www.khanacademy.org/math/class-8-ncf/x7eef1bd24a76901b:proportional-reasoning-2/x7eef1bd24a76901b:inverse-proportion/e/commercial-math-7-b and https://www.khanacademy.org/math/grade-8-math/x37b9516354b6ae1a:direct-and-inverse-proportion , 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
51,6.5 Inverse-square proportion,"1) Khan Academy: https://www.khanacademy.org/test-prep/v2-sat-math/x0fcc98a58ba3bea7:problem-solving-and-data-analysis-easier/x0fcc98a58ba3bea7:ratios-rates-and-proportions-easier/a/v2-sat-lesson-ratios-rates-and-proportions and https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates and https://www.khanacademy.org/math/grade-6-math-tx/x3931b57772b927b3:proportional-reasoning-ratios-rates and https://www.khanacademy.org/science/electrical-engineering/ee-electrostatics/ee-electric-force-and-electric-field/a/ee-inverse-square-law and https://www.khanacademy.org/math/class-8-ncf/x7eef1bd24a76901b:proportional-reasoning-2/x7eef1bd24a76901b:inverse-proportion/e/commercial-math-7-b and https://www.khanacademy.org/math/grade-8-math/x37b9516354b6ae1a:direct-and-inverse-proportion, 2) Purple Math: https://www.purplemath.com/modules/ratio.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio2.htm and https://www.purplemath.com/modules/ratio4.htm and https://www.purplemath.com/modules/ratio7.htm, 3) Mathematics LibreTexts: https://math.libretexts.org/Bookshelves/Applied_Mathematics/Contemporary_Mathematics_(OpenStax)/05%3A__Algebra/5.04%3A__Ratios_and_Proportions and https://math.libretexts.org/Courses/Northeast_Wisconsin_Technical_College/College_Technical_Math_1A_(NWTC)/05%3A_Proportions_and_Variation/5.01%3A_Ratios_Rates_Proportions and https://math.libretexts.org/Courses/Cosumnes_River_College/Corequisite_Codex/02%3A_Arithmetic/2.11%3A_Ratios_Proportions_and_Proportional_Reasoning and https://math.libretexts.org/Bookshelves/Algebra/Elementary_Algebra_(LibreTexts)/02%3A_Linear_Equations_and_Inequalities/2.06%3A_Ratio_and_Proportion_Applications, 4)Nrich: https://nrich.maths.org/problems/ratios-and-dilutions, 5)Illustrative Mathematics: https://accessim.org/6-8/grade-7/unit-2/section-a/lesson-1?a=student"
